DNS.aa,DNS.ad,DNS.an,DNS.ancount,DNS.ar,DNS.arcount,DNS.cd,DNS.id,DNS.length,DNS.ns,DNS.nscount,DNS.opcode,DNS.qd,DNS.qdcount,DNS.qr,DNS.ra,DNS.rcode,DNS.rd,DNS.tc,DNS.z,Ether.dst,Ether.src,Ether.type,IP.chksum,IP.dst,IP.flags,IP.frag,IP.id,IP.ihl,IP.len,IP.options,IP.proto,IP.src,IP.tos,IP.ttl,IP.version,IPv4,TCP.ack,TCP.chksum,TCP.dataofs,TCP.dport,TCP.flags,TCP.options,TCP.reserved,TCP.seq,TCP.sport,TCP.urgptr,TCP.window,UDP.chksum,UDP.dport,UDP.len,UDP.sport,packet_len,timestamp
,,,,,,,,,,,,,,,,,,,,00:00:0a:00:01:02,00:00:0a:00:01:01,2048,18831,00:00:0a:00:01:02,DF,0,46666,5,9500,,6,00:00:0a:00:01:01,0,64,4,,4257921081,18831,8,5001,DF,,0,253520932,44576,0,74,,,,,9514,1742994108.379099
,,,,,,,,,,,,,,,,,,,,00:00:0a:00:01:02,00:00:0a:00:01:01,2048,20122,00:00:0a:00:01:02,DF,0,46667,5,8208,,6,00:00:0a:00:01:01,0,64,4,,4257921081,20122,8,5001,DF,,0,253530380,44576,0,74,,,,,8222,1742994108.379105
,,,,,,,,,,,,,,,,,,,,00:00:0a:00:01:02,00:00:0a:00:01:01,2048,18829,00:00:0a:00:01:02,DF,0,46668,5,9500,,6,00:00:0a:00:01:01,0,64,4,,4257921081,18829,8,5001,DF,,0,253538536,44576,0,74,,,,,9514,1742994109.293614
,,,,,,,,,,,,,,,,,,,,00:00:0a:00:01:02,00:00:0a:00:01:01,2048,18828,00:00:0a:00:01:02,DF,0,46669,5,9500,,6,00:00:0a:00:01:01,0,64,4,,4257921081,18828,8,5001,DF,,0,253547984,44576,0,74,,,,,9514,1742994109.293653
,,,,,,,,,,,,,,,,,,,,00:00:0a:00:01:02,00:00:0a:00:01:01,2048,18827,00:00:0a:00:01:02,DF,0,46670,5,9500,,6,00:00:0a:00:01:01,0,64,4,,4257921081,18827,8,5001,DF,,0,253557432,44576,0,74,,,,,9514,1742994109.293724
,,,,,,,,,,,,,,,,,,,,00:00:0a:00:01:02,00:00:0a:00:01:01,2048,18826,00:00:0a:00:01:02,DF,0,46671,5,9500,,6,00:00:0a:00:01:01,0,64,4,,4257921081,18826,8,5001,DF,,0,253566880,44576,0,74,,,,,9514,1742994109.293726
,,,,,,,,,,,,,,,,,,,,00:00:0a:00:01:02,00:00:0a:00:01:01,2048,18825,00:00:0a:00:01:02,DF,0,46672,5,9500,,6,00:00:0a:00:01:01,0,64,4,,4257921081,18825,8,5001,DF,,0,253576328,44576,0,74,,,,,9514,1742994109.293790
,,,,,,,,,,,,,,,,,,,,00:00:0a:00:01:02,00:00:0a:00:01:01,2048,18824,00:00:0a:00:01:02,DF,0,46673,5,9500,,6,00:00:0a:00:01:01,0,64,4,,4257921081,18824,8,5001,DF,,0,253585776,44576,0,74,,,,,9514,1742994109.293792
,,,,,,,,,,,,,,,,,,,,00:00:0a:00:01:02,00:00:0a:00:01:01,2048,18823,00:00:0a:00:01:02,DF,0,46674,5,9500,,6,00:00:0a:00:01:01,0,64,4,,4257921081,18823,8,5001,DF,,0,253595224,44576,0,74,,,,,9514,1742994109.293812
,,,,,,,,,,,,,,,,,,,,00:00:0a:00:01:02,00:00:0a:00:01:01,2048,18822,00:00:0a:00:01:02,DF,0,46675,5,9500,,6,00:00:0a:00:01:01,0,64,4,,4257921081,18822,8,5001,DF,,0,253604672,44576,0,74,,,,,9514,1742994109.293813
